plantID,tier,projectNumber,sampleUniqueID,sampleID,product,flavorName,fatLevel,size,container,dateProcessed,dateCode,sampleDay,test,greaterThanLessThan,dataValue,countability
11,3,507,6840,52-3,Extras,White,2%,"½ Gal",Paper,2023-01-16,2023-02-03,D14,CVTA,<,20,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,DI,SPC,<,10,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,DI,CVTA,<,20,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,D7,SPC,<,10,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,D7,CVTA,<,20,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,D14,SPC,NULL,150,E
11,3,507,6834,53,Core,White,Skim,"½ Gal",Plastic,2023-01-16,2023-02-06,D14,CVTA,<,20,E
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,DI,SPC,<,10,E
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,DI,CVTA,<,20,E
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,D7,SPC,<,10,E
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,D7,CVTA,<,20,E
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,D14,SPC,NULL,8500,NULL
11,3,507,6835,54,Core,White,1%,"½ Gal",Plastic,2023-01-16,2023-02-06,D14,CVTA,<,20,E
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,DI,SPC,NULL,10,E
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,DI,CVTA,<,20,E
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,D7,SPC,NULL,2000000,NULL
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,D7,CVTA,NULL,2000000,NULL
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,D14,SPC,NULL,7000000000,NULL
11,3,507,6837,55,"Single Serve",Chocolate,Skim,"½ Pt",Paper,2023-01-15,2023-02-02,D14,CVTA,NULL,5900000000,NULL
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,DI,SPC,NULL,10,E
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,DI,CVTA,<,20,E
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,D7,SPC,NULL,1300,NULL
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,D7,CVTA,NULL,1600,NULL
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,D14,SPC,NULL,1700000000,NULL
11,3,507,6838,55-1,Flavored,Chocolate,1%,Qt,Plastic,2023-01-16,2023-02-05,D14,CVTA,NULL,1300000000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,40,E
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,570000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,1400000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,160000000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,250000000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,2000000000,NULL
80,3,507,6841,61,Core,White,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,2000000000,NULL
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,120,E
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D7,SPC,>,400000,E
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,340,E
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,270000000,NULL
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,3900000,NULL
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,570000000,NULL
80,3,507,6842,61-1,Core,White,Whole,Qt,Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,56000000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,10,E
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,680000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,760000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,37000000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,120000000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,SPC,NULL,140000000,NULL
80,3,507,6844,65,Flavored,Chocolate,Whole,"½ Gal",Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,350000000,NULL
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,DI,SPC,NULL,20,E
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,DI,CVTA,<,20,E
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D7,SPC,NULL,3800000,NULL
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D7,CVTA,NULL,5900000,NULL
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D14,SPC,NULL,360000000,NULL
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D14,CVTA,NULL,44000000,NULL
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D21,SPC,>,40000000000,E
80,3,507,6845,65-1,"Single Serve",Chocolate,Whole,Pt,Plastic,2023-01-09,2023-01-28,D21,CVTA,NULL,1900000000,NULL
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,DI,SPC,NULL,10,E
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,DI,CVTA,<,20,E
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,D7,SPC,NULL,90,E
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,D7,CVTA,NULL,140,E
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,D14,SPC,NULL,18000000,NULL
64,3,507,6846,71,Core,White,Whole,"½ Gal",Plastic,2023-01-08,2023-01-29,D14,CVTA,NULL,19000000,NULL
64,3,507,6847,71-1,Core,White,Whole,"½ Gal",Plastic,2023-01-05,2023-01-26,DI,SPC,NULL,1100,NULL
64,3,507,6847,71-1,Core,White,Whole,"½ Gal",Plastic,2023-01-05,2023-01-26,DI,CVTA,NULL,740,NULL
64,3,507,6847,71-1,Core,White,Whole,"½ Gal",Plastic,2023-01-05,2023-01-26,D14,SPC,NULL,120000000,NULL
64,3,507,6847,71-1,Core,White,Whole,"½ Gal",Plastic,2023-01-05,2023-01-26,D14,CVTA,NULL,130000000,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,DI,SPC,<,10,E
