t,Isolate,Rep,LOG10N
12,R10-0531,2,2.904630701
24,R10-0531,2,3.165893567
36,R10-0531,2,3.266358528
48,R10-0531,2,3.555423722
60, R10-0531,2,3.733463726
72, R10-0531,2,4.147668747
96,R10-0531,2,5.043320578
120,R10-0531,2,6.012054315
144,R10-0531,2,6.709727256
168,R10-0531,2,7.564950073
192, R10-0531,2,8.650380269
216,R10-0531,2,8.557843189
240, R10-0531,2,8.451789824
264,R10-0531,2,8.565021799
288,R10-0531,2,8.503967828
0,R10-0553,2,2.915354548
4,R10-0553,2,3.0015407
8, R10-0553,2,3.0015407
12,R10-0553,2,4.058627692
24,R10-0553,2,3.41316043
36,R10-0553,2,3.548083371
60,R10-0553,2,4.349227655
72,R10-0553,2,5.147062459
96,R10-0553,2,6.037438401
120,R10-0553,2,#NUM!
144,R10-0553,2,7.309952277
168,R10-0553,2,7.486523477
192,R10-0553,2,7.750593055
216,R10-0553,2,7.959833548
240,R10-0553,2,8.193858937
264,R10-0553,2,8.258799746
0,R10-1099,2,2.983811936
4,R10-1099,2,3.122114639
8,R10-1099,2,3.073422711
12, R10-1099,2,3.343963388
24,R10-1099,2,3.426422339
36, R10-1099,2,3.484414301
48,R10-1099,2,4.03147545
60,R10-1099,2,4.177199049
72,R10-1099,2,4.54560875
96,R10-1099,2,5.231842055
120,R10-1099,2,6.23821323
144,R10-1099,2,6.754672254
168,R10-1099,2,7.425938721
192,R10-1099,2,7.876729868
216,R10-1099,2,8.331954463
240,R10-1099,2,8.55542372
264,R10-1099,2,8.735952527
288,R10-1099,2,8.650875578
0, R10-0941,2,3.347893676
4, R10-0941,2,3.315407926
8,R10-0941,2,3.289342425
12, R10-0941,2,3.351788713
24,R10-0941,2,4.184417388
36,R10-0941,2,4.484414294
48,R10-0941,2,4.718223776
60,R10-0941,2,4.804668343
72,R10-0941,2,5.286073852
96,R10-0941,2,5.767888306
120, R10-0941,2,6.72956151
144, R10-0941,2,7.358914903
168,R10-0941,2,7.85652647
192, R10-0941,2,7.945435692
216,R10-0941,2,8.216384573
240,R10-0941,2,8.315407941
264, R10-0941,2,9.258799762
288,R10-0941,2,8.261612106
0,R10-0531,3,2.846638744
4,R10-0531,3,2.936039145
8,R10-0531,3,2.893635301
12,R10-0531,3,2.858873217
24,R10-0531,3,3.14766874
36,R10-0531,3,3.177631951
48, R10-0531,3,3.555423722
60,R10-0531,3,3.713022574
72,R10-0531,3,4.200197783
96, R10-0531,3,4.752985865
120,R10-0531,3,5.734701142
144, R10-0531,3,6.362096594
168,R10-0531,3,7.379190863
192,R10-0531,3,7.93805376
216,R10-0531,3,8.302570707
240,R10-0531,3,8.466923538
264,R10-0531,3,8.5304574
288,R10-0531,3,8.54311996
0,R10-0553,3,2.882354309
4,R10-0553,3,2.915354548
8, R10-0553,3,3.189061428
12,R10-0553,3,2.974668571
24,R10-0553,3,3.275698567
36,R10-0553,3,3.538099136
48,R10-0553,3,4.203099608
60,R10-0553,3,4.214380617
72, R10-0553,3,4.800410533
96,R10-0553,3,5.856526457
144,R10-0553,3,7.128465991
168, R10-0553,3,7.238213212
192,R10-0553,3,7.705102106
216,R10-0553,3,7.892588215
240,R10-0553,3,8.135924794
264,R10-0553,3,8.309952277
0,R10-1099,3,3.02684655
4,R10-1099,3,3.065998705
8,R10-1099,3,3.080721938
12,R10-1099,3,3.189061428
24,R10-1099,3,3.363268558
36,R10-1099,3,3.490091424
48,R10-1099,3,4.000367087
60,R10-1099,3,4.039407999
72, R10-1099,3,4.432904464
96,R10-1099,3,4.98727178
120,R10-1099,3,5.871312405
144,R10-1099,3,6.425938697
168,R10-1099,3,7.412737265
192,R10-1099,3,7.71039844
216,R10-1099,3,8.171802438
240,R10-1099,3,8.423144621
264,R10-1099,3,8.535566797
288,R10-1099,3,8.760086209
0,R10-0941,3,3.385356052
4, R10-0941,3,3.442449797
8,R10-0941,3,3.271053642
12,R10-0941,3,3.406374411
24, R10-0941,3,4.260805745
36,R10-0941,3,4.512085715
48,R10-0941,3,4.632984457
60,R10-0941,3,4.707758343
72,R10-0941,3,5.144454089
96,R10-0941,3,5.708372215
120,R10-0941,3,6.780714046
144,R10-0941,3,7.200807805
168,R10-0941,3,7.607922051
192,R10-0941,3,7.909859544
216,R10-0941,3,8.242089965
240,R10-0941,3,8.319604048
264,R10-0941,3,9.311735828
288, R10-0941,3,8.335994465
24,R10-1587,1,4.179618517
24,R10-1587,2,4.019298155
24,R10-1587,3,4.27265089
36,R10-1587,1,4.264790116
36,R10-1587,2,4.244492291
36, R10-1587,3,4.479684046
48, R10-1587,1,4.684664882
48,R10-1587,2,4.587037601
48,R10-1587,3,4.921741287
60,R10-1587,1,3.778471799
60,R10-1587,2,4.077032742
60,R10-1587,3,4.196074963
72, R10-1587,1,5.05745713
72, R10-1587,2,4.992104094
72, R10-1587,3,5.115648625
96,R10-1587,1,5.910689958
96, R10-1587,2,5.613155364
96,R10-1587,3,5.863437479
120,R10-1587,1,6.272223072
120, R10-1587,2,6.26535275
120, R10-1587,3,6.20038002
144,R10-1587,1,6.289406212
144,R10-1587,2,6.270271188
144,R10-1587,3,6.041189506
168,R10-1587,1,6.917354452
168,R10-1587,2,6.734701162
168, R10-1587,3,6.978914088
192, R10-1587,1,7.068492432
192, R10-1587,2,7.027721922
192,R10-1587,3,7.054251988
216, R10-1587,1,7.360508667
216,R10-1587,2,7.313512092
216,R10-1587,3,7.327466544
240,R10-1587,1,7.465673345
240,R10-1587,2,7.382227904
240,R10-1587,3,7.425938721
264,R10-1587,1,7.605766769
264,R10-1587,2,7.567388527
264, R10-1587,3,7.61854105
288,R10-1587,1,7.785170555
288,R10-1587,2,7.644993383
288, R10-1587,3,7.669926622
312,R10-1587,1,7.796110542
312,R10-1587,2,7.787380721
312,R10-1587,3,7.802544658
