,VSLNumber,SampleID,Day_Initial,SPC_DI,SPC_D7,SPC_D14,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D14,CVTA_D21,spoilagetype
344,502,45-1,3,2.5,10,4e+06,2.2e+07,5,5,5,5,spore spoilage
345,502,46,2,10,40,2.5,40,5,5,5,5,no spoilage
346,502,46-1,2,2.5,1200,2.5e+08,8.9e+08,5,3200,6.2e+08,2e+09,PPC
347,502,51,4,2.5,10,4e+06,NA,5,5,4e+06,NA,PPC
348,502,52,4,2.5,380,8e+08,NA,5,320,1.1e+09,NA,PPC
349,502,52-1,4,2.5,130,1.3e+09,NA,5,180,1.8e+09,NA,PPC
350,502,52-2,4,20,230,3.3e+07,NA,5,100,3.7e+07,NA,PPC
351,502,53,4,2.5,2.5,10,NA,5,5,5,NA,no spoilage
352,502,54,4,10,170,5.3e+07,NA,5,260,3.2e+08,NA,PPC
353,502,55,4,10,20,22000,NA,5,5,1200,NA,no spoilage
354,503,11,2,2.5,7700,2.2e+07,NA,5,10000,2.9e+07,NA,PPC
355,503,11-1,2,10,29000,3.4e+07,NA,5,44000,5.1e+07,NA,PPC
356,503,11-2,2,10,70000,1.3e+09,NA,5,57000,1e+09,NA,PPC
357,503,15,2,21000,3.7e+07,2.7e+09,NA,35000,2.8e+07,3e+09,NA,PPC
358,503,15-1,2,680,1.6e+07,2.1e+09,NA,620,1.5e+07,1.8e+09,NA,PPC
359,503,16,10,4e+06,NA,2.5e+07,NA,4e+06,NA,1.7e+07,NA,PPC
360,503,16-1,3,10,340,4.9e+07,NA,5,220,5.6e+07,NA,PPC
361,503,21,2,30,2.5,30,17000,5,5,5,5,no spoilage
362,503,22,2,30,10,2.5,40,5,5,5,5,no spoilage
363,503,22-1,2,2.5,10,2.5,2.5,5,5,5,5,no spoilage
364,503,22-2,2,10,2.5,10,2.5,5,5,5,5,no spoilage
365,503,23,2,10,2.5,10000,7.4e+08,5,5,11000,6.6e+08,PPC
366,503,25,2,20,10,8200,180000,5,5,5,5,no spoilage
367,503,31,1,190,230,1800,NA,5,5,5,NA,no spoilage
368,503,31-1,3,130,70,1900,NA,5,5,1800,NA,no spoilage
369,503,31-2,2,50,220000,1.3e+09,NA,5,320000,1.1e+09,NA,PPC
370,503,41,2,1400,12000,3600,NA,5,5,60,NA,no spoilage
371,503,41-1,4,2500,6400000,2e+09,NA,680,1.4e+07,1.7e+09,NA,PPC
372,503,51,3,80,2.5,2.5,4700,5,5,5,5,no spoilage
373,503,51-1,6,2.5,NA,19000,3.9e+08,5,NA,30000,4.7e+08,PPC
374,503,51-2,6,20,NA,90,1.4e+07,5,NA,140,1.5e+07,PPC
375,503,51-3,3,10,30,10,32000,5,5,5,30000,no spoilage
376,503,61,3,600,11000,9.3e+08,NA,5,1700,6.6e+08,NA,PPC
377,503,62,3,4e+06,7e+08,9.7e+08,NA,29000,2.4e+07,2.3e+08,NA,PPC
378,503,62-1,6,430,NA,5400000,NA,5,NA,80000,NA,PPC
379,503,62-2,3,10,170,4.4e+07,NA,5,5,30000,NA,PPC
380,503,63,4,30,3200000,1.4e+09,NA,5,2500000,1.1e+09,NA,PPC
381,503,64,3,710,2.4e+07,1.8e+09,NA,760,2.9e+07,1.8e+09,NA,PPC
382,503,65,7,2.5,NA,130,NA,5,NA,1800000,NA,PPC
383,503,65-1,3,16000,40000,4.2e+08,NA,13000,120000,3.8e+08,NA,PPC
384,503,71,3,10,20,20,NA,5,5,5,NA,no spoilage
385,503,72,3,10,2.5,70,NA,5,5,5,NA,no spoilage
386,503,72-1,3,2.5,2.5,2.5,NA,5,5,5,NA,no spoilage
387,503,72-2,3,2.5,2.5,2.5,NA,5,5,5,NA,no spoilage
388,503,73,3,2.5,610000,8.9e+08,NA,5,340000,5.8e+08,NA,PPC
389,503,74,3,2.5,4600,1.5e+09,NA,5,4100,1.5e+09,NA,PPC
390,503,75,3,10,60,4500000,NA,5,5,5,NA,spore spoilage
391,503,75-1,3,110,2.5,230000,NA,5,5,5,NA,spore spoilage
392,503,75-2,3,130,70,22000,7e+06,5,5,5,5,spore spoilage
393,503,76,3,300,100,530000,4.7e+09,5,5,660000,5.3e+09,PPC
394,503,76-1,3,130,180,16000,3.4e+07,5,5,60,4000,spore spoilage
395,503,81,3,680,220000,3.1e+07,NA,5,220000,2.4e+07,NA,PPC
396,503,81-1,3,600,510,1200,NA,5,5,20,NA,no spoilage
397,503,82-1,3,650,5600,3.4e+07,NA,5,17000,4.1e+07,NA,PPC
398,503,82-2,3,640,1200,5300000,NA,5,140,5400000,NA,PPC
399,503,83,3,1000,3.4e+07,5.3e+08,NA,840,3.4e+07,4.5e+08,NA,PPC
400,503,84,3,90,49000,1.9e+08,NA,5,37000,3.5e+08,NA,PPC
401,503,84-1,3,50,9000,1.8e+07,NA,5,12000,2.4e+07,NA,PPC
402,503,85,2,10,110,270000,NA,5,5,5,NA,spore spoilage
403,503,85-1,2,70,1.1e+07,3.8e+08,NA,5,1.4e+07,4.1e+08,NA,PPC
404,504,11,4,12000,2.3e+07,1.1e+09,NA,7700,3e+07,1.1e+09,NA,PPC
405,504,11-1,7,42000,NA,1.3e+08,NA,63000,NA,1e+08,NA,PPC
406,504,21,3,20,60,350,230000,5,5,5,5,no spoilage
407,504,21-1,3,170,120,4e+06,1.6e+07,5,5,5,5,spore spoilage
408,504,22,2,180,170,81000,3e+07,5,5,2700,22000,spore spoilage
409,504,25,2,20,40,4e+06,1.4e+09,5,5,5,5,spore spoilage
410,504,25-1,1,40,360,4e+06,1.4e+07,5,1800,1.6e+08,4.6e+08,PPC
411,504,25-2,2,30,20,120000,1e+09,5,5,5,5,spore spoilage
412,504,31,5,2.5,NA,31000,NA,5,NA,44000,NA,PPC
413,504,31-1,5,2.5,NA,380,NA,5,NA,260,NA,no spoilage
414,504,35,4,700,460,4e+06,NA,5,5,5,NA,spore spoilage
415,504,35-1,4,1000,350,5500,NA,5,5,5,NA,no spoilage
416,504,41,3,10,1400,6.7e+07,NA,5,320,5,NA,spore spoilage
417,504,42,3,30,140,6.3e+07,NA,5,40,6.8e+07,NA,PPC
418,504,43,3,20,2.5,19000,NA,5,5,1300,NA,no spoilage
419,504,45,4,2.5,6300,4e+09,NA,5,5,5,NA,spore spoilage
420,504,45-1,4,40,2.5,4e+06,NA,5,5,420,NA,spore spoilage
421,504,46,8,120,NA,240000,NA,5,NA,1100,NA,spore spoilage
422,504,46-1,4,60,120000,2.6e+09,NA,5,95000,5e+05,NA,spore spoilage
423,504,46-2,8,20,NA,2500,NA,5,NA,5,NA,no spoilage
424,504,51,3,60,780000,1.9e+09,NA,5,820000,2.2e+09,NA,PPC
425,504,52,3,180,2e+06,1.5e+09,NA,140,2e+06,1.4e+09,NA,PPC
426,504,53,3,90,2300000,2.3e+08,NA,60,2800000,2.4e+08,NA,PPC
427,504,53-1,4,140,1700000,6.2e+08,NA,120,1200000,3.7e+08,NA,PPC
428,504,55,4,90,850000,9.8e+08,NA,5,9e+05,5e+08,NA,PPC
429,504,55-1,4,320,3e+06,6.8e+08,NA,80,5e+06,7.4e+08,NA,PPC
430,504,61,3,5800,10000,3e+07,5.6e+08,120,5600,4.2e+07,5.9e+08,PPC
431,504,61-1,4,4400,4300,1.1e+07,6.6e+07,5,3800,2e+07,1.3e+08,PPC
432,504,62,1,30,780,1300000,5.4e+07,5,5,5,NA,spore spoilage
433,504,63,2,90,1500,3400,2200000,5,5,5,5,spore spoilage
434,504,65,4,90,960,2.7e+09,2.3e+07,5,1500,2.8e+09,1e+09,PPC
435,504,65-1,4,20,560,2.5e+07,1.7e+09,5,180,1.1e+07,1.2e+09,PPC
436,504,71,2,2.5,2.5,460,3100000,5,5,5,5,spore spoilage
437,504,71-1,2,10,2.5,130,1500000,5,5,5,5,spore spoilage
438,504,71-2,4,50,20,15000,1.1e+07,5,5,5,5,spore spoilage
439,504,75,2,2.5,12000,3e+06,8600000,5,5,5,5,spore spoilage
440,504,75-1,5,30,NA,77000,99000,5,NA,560,13000,no spoilage
441,504,76,6,2.5,NA,10,2600,5,NA,5,5,no spoilage
442,505,21,2,50,13000,2.9e+08,3.5e+09,5,28000,3.4e+08,3.8e+09,PPC
443,505,22,2,20,2.5,4e+06,1300000,5,5,5,4e+06,PPC
444,505,22-1,2,50,20,220,67000,5,5,40,58000,no spoilage
445,505,23,2,20,2.5,4200000,2.8e+08,5,5,4e+06,3.2e+08,PPC
446,505,25,2,20,2.5,540,1300000,5,5,5,4e+06,PPC
447,505,25-1,2,60,10,820,1900000,5,5,5,5,spore spoilage
448,505,25-2,2,180,150,4e+06,260000,5,5,5,5,spore spoilage
449,505,31,2,10,28000,3e+07,4.1e+08,5,33000,3.1e+07,2.6e+08,PPC
450,505,31-1,6,10,NA,3700000,2.6e+09,5,NA,4e+06,2.5e+09,PPC
451,505,31-2,2,2.5,2600,2e+07,3.4e+07,5,2900,20000,440000,spore spoilage
452,505,51,3,40,20,320,310000,5,5,5,5,spore spoilage
453,505,51-1,3,20,50,720,6600000,5,5,460,3900000,PPC
454,505,61,2,350,30000,1.8e+09,9.8e+08,5,36000,1.9e+09,1.1e+09,PPC
455,505,62,2,520,1200,2.8e+07,1.2e+09,5,400,3.3e+07,1.1e+09,PPC
456,505,62-1,2,410,630,78000,4.9e+07,5,5,5,5,spore spoilage
457,505,62-2,2,400,650,95000,3.1e+07,5,5,5,5,spore spoilage
458,505,63,2,580,390,37000,8300000,5,5,5,5,spore spoilage
459,505,63-1,2,510,39000,7e+07,1.1e+09,5,43000,3.1e+08,1e+09,PPC
460,505,64,2,430,480,1.3e+07,3.4e+08,5,20,42000,860000,PPC
461,505,65,3,450,410,4e+06,3.8e+07,5,5,5,5,spore spoilage
462,505,71,3,500,230,190,70,5,5,5,5,no spoilage
463,505,72,3,480,290,100,6900,5,5,5,5,no spoilage
464,505,73,3,420,260,190,2500,5,5,5,5,no spoilage
465,505,73-1,3,380,290,140,110,5,5,5,5,no spoilage
466,505,73-2,3,420,300,210,60,5,5,5,5,no spoilage
467,505,74,3,530,450,110,60,5,5,5,5,no spoilage
468,505,74-1,5,360,NA,500,170,5,NA,5,5,no spoilage
469,505,75,5,2.5,NA,4e+06,2300000,5,NA,5,5,spore spoilage
470,505,75-1,5,10,NA,4e+06,2500000,5,NA,5,5,spore spoilage
471,505,76,5,10,NA,110,2800000,5,NA,5,5,spore spoilage
472,505,76-1,6,30,NA,30,30,5,NA,5,5,no spoilage
473,505,76-2,3,40,40,4e+06,1.1e+08,5,5,5,5,spore spoilage
474,505,81,3,2.5,10,240,35000,5,5,5,5,no spoilage
475,505,81-1,17,10,NA,NA,2.5,5,NA,NA,5,no spoilage
476,505,85,3,2.5,2.5,110000,6.3e+09,5,5,5,5,spore spoilage
477,505,85-1,3,2.5,2.5,59000,1.6e+09,5,5,29000,4200000,PPC
478,505,86,9,20,NA,20,80,5,NA,5,5,no spoilage
479,505,86-1,16,2.5,NA,NA,4e+06,5,NA,NA,5,spore spoilage
480,506,1,3,40,280,2.4e+07,1.6e+09,5,180,2.9e+07,1.6e+09,PPC
481,506,2,3,110,80,6500000,9.9e+08,5,5,6700000,7.8e+08,PPC
482,506,02-1,3,90,20,12000,1.1e+08,5,5,42000,1.1e+08,PPC
483,506,02-2,3,80,60,680,1800000,5,5,20,69000,spore spoilage
484,506,3,3,120,1200,3.2e+07,3.6e+08,5,1200,3.7e+07,3.2e+08,PPC
485,506,4,3,100,1800,6.5e+07,4.7e+07,5,4100,2.4e+09,2e+08,PPC
486,506,5,3,30,190,4.2e+07,7.2e+08,5,180,3.6e+07,9.5e+08,PPC
487,506,31,2,70,2e+07,2.8e+08,NA,120,2e+07,3.5e+08,NA,PPC
488,506,31-1,2,20,4e+06,1.8e+08,NA,5,4e+06,1.8e+08,NA,PPC
489,506,31-2,10,4e+06,NA,4e+07,NA,4e+06,NA,3.6e+07,NA,PPC
490,506,35,2,40,88000,2.4e+09,NA,5,70000,3.5e+09,NA,PPC
491,506,35-1,2,50,35000,4.1e+08,NA,5,49000,9e+08,NA,PPC
492,506,36,10,4e+06,NA,5.4e+08,NA,4e+06,NA,6.3e+08,NA,PPC
493,506,36-1,9,120000,NA,2.6e+09,NA,4e+06,NA,2.6e+09,NA,PPC
494,506,41,2,2.5,430,9900000,NA,5,540,1e+07,NA,PPC
495,506,41-1,2,2.5,4e+06,1.4e+07,NA,5,4e+06,1.2e+07,NA,PPC
496,506,45,3,1200,1300,37000,NA,5,5,50000,NA,PPC
497,506,45-1,3,1000,1100,4e+06,NA,5,5,5,NA,spore spoilage
498,506,51,3,3400,1.8e+07,5.1e+08,NA,5000,2e+07,4.4e+08,NA,PPC
499,506,61,3,170,51000,1.2e+09,NA,5,49000,1.4e+09,NA,PPC
500,506,62,3,50,60000,2.9e+09,NA,5,74000,2.5e+09,NA,PPC
501,506,62-1,2,60,4e+06,7.5e+08,NA,5,4e+06,7.2e+08,NA,PPC
502,506,63,3,100,74000,9.4e+08,NA,5,73000,9.8e+08,NA,PPC
503,506,64,3,20,1200,8.3e+08,NA,5,680,7.4e+08,NA,PPC
504,506,65,3,140,73000,4.8e+08,NA,5,76000,5.2e+08,NA,PPC
505,506,65-1,3,10,61000,3.2e+09,NA,5,64000,3.4e+09,NA,PPC
506,506,65-2,3,20,73000,2.2e+09,NA,5,80000,2e+09,NA,PPC
507,506,71,5,190,NA,8700000,7.5e+07,5,NA,8200000,5.6e+07,PPC
508,506,71-1,2,60,26000,1.9e+07,7.4e+08,5,17000,2.1e+07,3.4e+08,PPC
509,506,71-2,5,90,NA,4e+06,2.6e+08,5,NA,2.3e+07,2.4e+08,PPC
510,506,75,10,100,NA,2100000,1e+10,81,NA,7e+06,8.4e+07,PPC
511,506,81,3,1600,1100,5.4e+07,NA,5,420,4.4e+07,NA,PPC
512,506,83,3,300,39000,5.6e+07,NA,5,39000,4.7e+07,NA,PPC
513,506,84,3,130,1800,5e+07,NA,5,2100,4.7e+07,NA,PPC
514,506,84-1,3,280,110,7300,NA,5,5,5,NA,no spoilage
515,506,84-2,3,360,360,1700,NA,5,5,5,NA,no spoilage
516,506,85,3,50,910,4e+09,NA,5,5,5,NA,spore spoilage
517,506,85-1,3,20,3600,3.3e+09,NA,5,2000,9.6e+08,NA,PPC
518,506,91,2,310,18000,2.1e+07,NA,5,20000,2.5e+07,NA,PPC
519,506,91-1,3,20,10000,2.3e+07,NA,5,11000,3.1e+07,NA,PPC
520,507,11,4,3200,2.9e+07,3.5e+09,NA,4500,2.7e+07,2.7e+09,NA,PPC
521,507,21,4,130,100,27000,NA,5,5,4e+06,NA,PPC
522,507,25,9,110,NA,240,NA,5,NA,40,NA,no spoilage
523,507,31,3,90,120,240,540000,5,5,5,5,no spoilage
524,507,32,3,50,170,3.2e+07,2.2e+09,5,1800,6.3e+07,9.7e+09,PPC
525,507,32-1,3,120,40000,4.5e+07,3.4e+07,5,36000,1.8e+09,2.4e+07,PPC
526,507,32-2,3,60,60,610,3100000,5,5,5,5,spore spoilage
527,507,33,3,80,49000,4.1e+07,5.1e+09,5,45000,4.3e+07,6.9e+09,PPC
528,507,34,3,60,45000,7e+07,3.5e+09,5,66000,7.2e+07,3.6e+09,PPC
529,507,41,2,10,970,1.6e+07,NA,5,1100,1.6e+07,NA,PPC
530,507,42,3,2.5,10,10,NA,5,5,5,NA,no spoilage
531,507,42-1,3,10,10,230,NA,5,5,5,NA,no spoilage
532,507,42-2,3,150,12000,1.8e+07,NA,5,16000,1.8e+07,NA,PPC
533,507,43,3,2.5,2.5,90,NA,5,5,5,NA,no spoilage
534,507,45,3,10,10,11000,NA,5,5,5,NA,no spoilage
535,507,45-1,3,2.5,2.5,12000,NA,5,5,6900,NA,no spoilage
536,507,51,3,510,10000,3.4e+07,NA,5,15000,5.2e+07,NA,PPC
537,507,52,3,250,3200,3.7e+07,NA,5,2900,4e+07,NA,PPC
538,507,52-2,4,280,80,870,NA,5,5,5,NA,no spoilage
539,507,52-3,3,50,70,40,NA,5,5,5,NA,no spoilage
540,507,53,3,2.5,2.5,150,NA,5,5,5,NA,no spoilage
541,507,54,3,2.5,2.5,8500,NA,5,5,5,NA,no spoilage
542,507,55,4,10,2e+06,7e+09,NA,5,2e+06,5.9e+09,NA,PPC
543,507,55-1,3,10,1300,1.7e+09,NA,5,1600,1.3e+09,NA,PPC
544,507,61,3,40,570000,1.6e+08,2e+09,5,1400000,2.5e+08,2e+09,PPC
545,507,61-1,3,120,4e+06,2.7e+08,5.7e+08,5,340,3900000,5.6e+07,PPC
546,507,65,3,10,680000,3.7e+07,1.4e+08,5,760000,1.2e+08,3.5e+08,PPC
547,507,65-1,3,20,3800000,3.6e+08,4e+11,5,5900000,4.4e+07,1.9e+09,PPC
548,507,71,4,10,90,1.8e+07,NA,5,140,1.9e+07,NA,PPC
549,507,71-1,7,1100,NA,1.2e+08,NA,740,NA,1.3e+08,NA,PPC
550,507,81,2,2.5,860,2.1e+07,7.8e+08,5,1000,2.5e+07,5.4e+08,PPC
551,507,81-1,3,2.5,30,2.5,100,5,5,5,5,no spoilage
552,507,85,2,2.5,730,1.1e+07,1.6e+07,5,5,5,5,spore spoilage
553,507,86,3,2.5,2.5,2.5,2.5,5,5,5,5,no spoilage
554,508,11,2,10,10,2.5,2.5,5,5,5,5,no spoilage
555,508,12,2,2.5,10,2.5,2.5,5,5,5,5,no spoilage
556,508,12-1,2,2.5,2.5,2.5,2.5,5,5,5,5,no spoilage
557,508,12-2,2,2.5,2.5,10,3000,5,5,5,5,no spoilage
558,508,13,2,2.5,2.5,2.5,2.5,5,5,5,5,no spoilage
559,508,15,2,2.5,2.5,1300,5800000,5,5,5,5,spore spoilage
560,508,21,3,10,5500,4.4e+07,NA,5,17000,3.7e+07,NA,PPC
561,508,21-1,2,10,4800,4.8e+07,NA,5,3900,4.6e+07,NA,PPC
562,508,21-2,6,2500,NA,3.8e+07,NA,3200,NA,4.8e+07,NA,PPC
563,508,31,7,300,NA,1900,2300000,5,NA,5,5,spore spoilage
564,508,32,3,610,640,2.1e+07,5e+07,5,40,3.6e+07,6.4e+07,PPC
565,508,32-1,3,510,1.2e+07,1e+09,4.6e+08,480,2.7e+07,1.1e+09,1.7e+09,PPC
566,508,32-2,3,460,630,45000,2.8e+07,5,5,38000,1.1e+07,PPC
567,508,32-3,7,20,NA,1.4e+07,1.4e+09,20,NA,1.5e+07,9.7e+08,PPC
568,508,33,9,18000,NA,6e+07,5.2e+07,41000,NA,3.1e+07,8.6e+08,PPC
569,508,34,3,440,760,77000,7100000,5,5,5,5,spore spoilage
570,508,35,3,60,2900,1.3e+09,4.4e+09,5,3000,6.9e+08,1.1e+09,PPC
571,508,41,2,2.5,2.5,2.5,80,5,5,5,5,no spoilage
572,508,41-1,3,2.5,2.5,10,1600,5,5,5,1100,no spoilage
573,508,42,2,2.5,2.5,10,2.5,5,5,5,5,no spoilage
574,508,42-1,2,2.5,2.5,2.5,100,5,5,5,5,no spoilage
575,508,42-2,2,2.5,10,2.5,1700,5,5,5,5,no spoilage
576,508,43,2,2.5,2.5,7000,3.2e+07,5,5,5,5,spore spoilage
577,508,44,2,2.5,2.5,2.5,50,5,5,5,5,no spoilage
578,508,45,3,2.5,2.5,52000,7.8e+07,5,5,5,5,spore spoilage
579,508,45-1,3,2.5,2.5,42000,4.4e+07,5,5,5,5,spore spoilage
580,508,45-2,3,10,20,6600,4e+09,5,5,140,3300,spore spoilage
581,508,46,3,10,40,11000,1.9e+08,5,5,5,5,spore spoilage
582,508,46-1,3,2.5,20,1700,4200000,5,5,5,5,spore spoilage
583,508,51,3,20,1600,5.2e+07,NA,5,1500,5.3e+07,NA,PPC
584,508,51-1,3,10,4100,5700000,NA,5,9300,3.4e+07,NA,PPC
585,508,52,3,20,600,4e+07,NA,5,700,4.3e+07,NA,PPC
586,508,52-1,3,30,40,50,NA,5,5,5,NA,no spoilage
587,508,52-2,3,2.5,30,1.3e+07,NA,5,40,1.1e+07,NA,PPC
588,508,53,3,20,1000,1e+07,NA,5,860,8600000,NA,PPC
589,508,53-1,3,10,12000,5.7e+08,NA,5,21000,1.8e+09,NA,PPC
590,508,54,3,30,980,1.9e+07,NA,5,1100,4.9e+07,NA,PPC
591,508,55,3,40,50,13000,NA,5,5,5,NA,no spoilage
592,508,55-1,3,2.5,30,7000,NA,5,5,5,NA,no spoilage
593,508,55-2,3,20,2.5,3800,NA,5,5,5,NA,no spoilage
594,508,61,3,20,10,20,NA,5,5,5,NA,no spoilage
595,508,62,3,30,12000,2.7e+07,NA,5,18000,5.6e+07,NA,PPC
596,508,62-1,3,2.5,2.5,30,NA,5,5,20,NA,no spoilage
597,508,62-2,3,10,10,1600,NA,5,5,2700,NA,no spoilage
598,508,62-3,3,30,10,280,NA,5,5,5,NA,no spoilage
599,508,63,3,20,10,80,NA,5,5,5,NA,no spoilage
600,508,64,3,10,2.5,20,NA,5,5,5,NA,no spoilage
601,508,65,3,20,120,5.3e+07,NA,5,40,5.4e+07,NA,PPC
602,509,11,3,70,530,3300000,NA,5,660,4200000,NA,PPC
603,509,12,3,30,2.5,7200000,NA,5,5,4e+06,NA,PPC
604,509,12-2,3,50,60,1.6e+07,NA,5,60,1.7e+07,NA,PPC
605,509,12-3,3,20,7500,3.6e+07,NA,40,9300,4.7e+07,NA,PPC
606,509,13,3,30,950,1.2e+07,NA,5,780,1.8e+07,NA,PPC
607,509,15,3,110,990,8.3e+08,NA,5,1000,9.1e+08,NA,PPC
608,509,15-1,3,150,860,6.2e+08,NA,5,900,5.3e+07,NA,PPC
609,509,16,3,1200,960,340000,NA,5,5,92000,NA,PPC
610,509,21,6,690,NA,9100000,8.9e+08,5,NA,8700000,8.6e+08,PPC
611,509,21-1,6,530,NA,3300,1.6e+07,5,NA,5,5,spore spoilage
612,509,23,7,2.5,NA,970,2900000,5,NA,5,5,spore spoilage
613,509,25,2,2.5,110,4e+06,2.8e+07,5,5,5,5,spore spoilage
614,509,25-1,6,10,NA,2900000,2.2e+09,20,NA,2600000,2.1e+09,PPC
615,509,25-2,2,40,1600,1800000,3.9e+09,5,5,5,5,spore spoilage
616,509,31,2,70,70,490,NA,5,5,5,NA,no spoilage
617,509,31-1,3,20,20,10,NA,5,5,5,NA,no spoilage
618,509,31-2,4,90,30,350,NA,5,5,5,NA,no spoilage
619,509,41,1,170,1200000,4e+07,NA,5,6500000,9.2e+07,NA,PPC
620,509,41-1,1,380,730,26000,NA,5,5,5,NA,spore spoilage
621,509,42,1,260,690000,7.2e+08,NA,5,380000,3.3e+08,NA,PPC
622,509,42-1,1,440,14000,2.8e+07,NA,20,10000,1.1e+07,NA,PPC
623,509,43,1,350,20000,2.5e+07,NA,5,19000,2.8e+07,NA,PPC
624,509,45,1,290,1300000,3e+09,NA,5,2100000,1.4e+09,NA,PPC
625,509,45-1,1,300,7300000,7.1e+09,NA,5,7700000,3.5e+09,NA,PPC
626,509,51,2,110,1200,1.3e+07,NA,5,5,5,NA,spore spoilage
627,509,52,2,40,150000,5.2e+08,NA,5,220000,5.3e+08,NA,PPC
628,509,52-1,2,30,53000,5.7e+08,NA,5,51000,5.5e+08,NA,PPC
629,509,53,2,40,330000,1.2e+08,NA,5,220000,1.4e+08,NA,PPC
630,509,54,3,50,160,1900000,NA,5,5,5,NA,spore spoilage
631,509,55,2,70,250000,3.4e+09,NA,5,240000,3.2e+09,NA,PPC
632,509,55-1,3,10,46000,4.7e+08,NA,5,56000,4e+08,NA,PPC
633,509,55-2,3,30,1200000,3.5e+09,NA,5,1100000,3.4e+09,NA,PPC
634,509,61,3,330,4500000,8.8e+07,NA,140,1.5e+07,1.2e+08,NA,PPC
635,509,63,3,530,10000,1.6e+07,NA,280,7e+05,4300000,NA,PPC
636,509,64,3,170,350000,3.6e+07,NA,5,340000,3.3e+07,NA,PPC
637,509,64-1,3,140,6e+05,5.3e+07,NA,20,1300000,4.2e+08,NA,PPC
638,509,64-2,3,900,5200000,2e+09,NA,780,1.1e+07,1.1e+09,NA,PPC
639,509,65,3,20,970,1.1e+08,NA,5,5,5,NA,spore spoilage
640,509,65-1,3,30,1100,9.9e+07,NA,5,20,2100,NA,spore spoilage
641,510,11,4,920,1.6e+07,1.2e+09,NA,1100,1.6e+07,1.2e+09,NA,PPC
642,510,21,1,130,110,160,NA,5,5,3500000,NA,PPC
643,510,21-1,1,50,3000,5.1e+07,NA,5,2800,5.5e+07,NA,PPC
644,510,25,1,20,28000,4.7e+08,NA,5,33000,3.6e+08,NA,PPC
645,510,31,5,2.5,NA,210,1800000,5,NA,5,5,spore spoilage
646,510,31-1,5,2.5,NA,2.5,14000,5,NA,5,5,no spoilage
647,510,35,3,510,1200,6700,1500000,5,5,6900,680000,PPC
648,510,35-1,3,560,1000,6800,7300000,5,5,5,5,spore spoilage
649,510,41,3,40,40,19000,NA,5,5,5,NA,no spoilage
650,510,42,3,10,30,24000,NA,5,5,5,NA,spore spoilage
651,510,43,3,20,90,4e+06,NA,5,5,5,NA,spore spoilage
652,510,45,3,30,1300,1.1e+07,NA,5,5,5,NA,spore spoilage
653,510,46,3,40,11000,8.2e+08,NA,5,5,5,NA,spore spoilage
654,510,51,5,2.5,NA,50000,NA,5,NA,340,NA,spore spoilage
655,510,51-1,5,190,NA,1.2e+07,NA,500,NA,2.8e+07,NA,PPC
656,510,51-2,5,20,NA,48000,NA,5,NA,1400000,NA,PPC
657,510,55,2,40,2100,3.6e+07,NA,5,1700,5e+07,NA,PPC
658,510,55-1,2,10,190,45000,NA,5,5,5,NA,spore spoilage
659,510,61,3,310,150,4e+06,NA,5,5,4e+06,NA,PPC
660,510,61-1,3,180,310000,3.6e+07,NA,5,740000,4.3e+07,NA,PPC
661,510,62,3,420,310,310,NA,5,5,5,NA,no spoilage
662,510,63,3,210,150,130,NA,5,5,5,NA,no spoilage
663,510,65,3,90,33000,9.1e+09,NA,5,35000,1.1e+10,NA,PPC
664,510,71,3,270,270,170,800,5,5,5,5,no spoilage
665,510,72,3,640,720,360,1200,5,5,5,5,no spoilage
666,510,73,3,510,640,380,56000,5,5,5,5,no spoilage
667,510,73-1,3,640,3700,3.3e+07,1e+10,5,12000,6.3e+07,8.4e+08,PPC
668,510,73-2,5,120,NA,80,20,5,NA,5,5,no spoilage
669,510,73-3,3,580,380,470,1300,5,5,5,5,no spoilage
670,510,74,3,670,650,330,280,5,5,5,5,no spoilage
671,510,74-1,6,530,NA,330,550,5,NA,5,5,no spoilage
672,510,75,5,440,NA,36000,1e+07,5,NA,5,5,spore spoilage
673,510,75-1,6,90,NA,13000,1.7e+09,5,NA,5,120,spore spoilage
674,510,76,5,40,NA,120,110000,5,NA,5,5,no spoilage
675,510,76-1,6,30,NA,40,410,5,NA,5,5,no spoilage
676,510,76-2,3,150,70,4e+06,8.8e+08,5,5,5,5,spore spoilage
677,510,81,2,80,5100,1.5e+07,NA,5,14000,2.6e+07,NA,PPC
678,510,81-1,6,110,NA,1.9e+07,NA,40,NA,1.9e+07,NA,PPC
679,510,91,2,150,120,8200,3400000,5,5,5,5,spore spoilage
680,510,91-1,3,160,210,1800,480000,5,5,5,5,no spoilage
681,510,95,7,130,NA,2e+06,1.6e+09,5,NA,5,5,spore spoilage
682,510,96,2,80,120,2100,8.1e+07,5,5,5,5,spore spoilage
683,511,11,3,180,30,9600,NA,5,5,9300,NA,no spoilage
684,511,11-1,3,100,340,1.1e+07,NA,5,240,1.1e+07,NA,PPC
685,511,12,3,10,10,320,NA,5,5,420,NA,no spoilage
686,511,12-1,3,90,40,1.4e+07,NA,5,60,1.5e+07,NA,PPC
687,511,12-2,3,60,69000,3.9e+07,NA,5,64000,3.2e+07,NA,PPC
688,511,13,3,80,10,5700000,NA,5,5,6100000,NA,PPC
